ID,Film Name,Date,Genres,Top Actors,Director,Writer,Creator (If writer isn't found)Book,Budget,Gross US,Gross World,Rating,Votes
tt3502248,Bosch,20142021,Crime | Drama,Titus Welliver | Jamie Hector | Amy Aquino | Lance Reddick,NotFound,NotFound,Eric Ellis Overmyer,NotFound,NotFound,NotFound,NotFound," 8,5", 74191 votes
tt0094525,Poirot,19892013,Crime | Drama | Mystery,David Suchet | Hugh Fraser | Philip Jackson | Pauline Moran,Edward Bennett,Guy Andrews,NotFound,[],NotFound,NotFound,NotFound," 8,6", 47131 votes
tt0167260,The Lord of the Rings: The Return of the King,2003,Action | Adventure | Drama,Noel Appleby | Ali Astin | Sean Astin | David Aston,Peter Jackson,J.R.R. Tolkien,NotFound,['The Return of the King'],"$94 000 000
","$378 251 207
","$1 146 457 748
", 9, 1863739 votes
tt0159206,Sex and the City,19982004,Comedy | Drama | Romance,Sarah Jessica Parker | Kim Cattrall | Kristin Davis | Cynthia Nixon,NotFound,NotFound,Darren Star,NotFound,NotFound,NotFound,NotFound," 7,3", 129886 votes
tt0068098,M*A*S*H,19721983,Comedy | Drama | War,Alan Alda | Loretta Swit | Jamie Farr | William Christopher,NotFound,NotFound,Larry Gelbart,NotFound,NotFound,NotFound,NotFound," 8,4", 58966 votes
tt0180093,Requiem for a Dream,2000,Drama,Ellen Burstyn | Jared Leto | Jennifer Connelly | Marlon Wayans,Darren Aronofsky,Hubert Selby Jr.,NotFound,[],"$4 500 000
","$3 635 482
","$7 390 108
"," 8,3", 851505 votes
tt9059760,Normal People,20202020,Drama | Romance,Daisy Edgar-Jones | Paul Mescal | Desmond Eastwood | Aislín McGuckin,Lenny Abrahamson,Alice Birch,NotFound,[],NotFound,NotFound,NotFound," 8,4", 71759 votes
tt0373889,Harry Potter and the Order of the Phoenix,2007,Action | Adventure | Family,Daniel Radcliffe | Harry Melling | Jason Boyd | Richard Macklin,David Yates,Michael Goldenberg,NotFound,[],"$150 000 000
","$292 382 727
","$942 278 045
"," 7,5", 592614 votes
tt11743610,The Terminal List,2022,Action | Drama | Thriller,Chris Pratt | Constance Wu | Taylor Kitsch | Riley Keough,Frederick E.O. Toye,Tolu Awosika,NotFound,[],NotFound,NotFound,NotFound," 7,9", 94342 votes
tt7462410,The Wheel of Time,2021,Action | Adventure | Drama,Rosamund Pike | Daniel Henney | Zoë Robins | Madeleine Madden,NotFound,NotFound,Rafe Judkins,NotFound,NotFound,NotFound,NotFound," 7,1", 107807 votes
tt2267998,Gone Girl,2014,Drama | Mystery | Thriller,Ben Affleck | Rosamund Pike | Neil Patrick Harris | Tyler Perry,David Fincher,Gillian Flynn,NotFound,[],"$61 000 000
","$167 767 189
","$369 330 363
"," 8,1", 995603 votes
tt7657566,Death on the Nile,2022,Crime | Drama | Mystery,Michael Rouse | Alaa Safi | Orlando Seale | Charlie Anson,Kenneth Branagh,Michael Green,NotFound,[],"$90 000 000
","$45 630 104
","$137 307 235
"," 6,3", 156251 votes
tt3281548,Little Women,2019,Drama | Romance,Saoirse Ronan | Emma Watson | Florence Pugh | Eliza Scanlen,Greta Gerwig,Greta Gerwig,NotFound,[],"$40 000 000
","$108 101 214
","$218 843 645
"," 7,8", 212973 votes
tt0264464,Catch Me If You Can,2002,Biography | Crime | Drama,Leonardo DiCaprio | Tom Hanks | Christopher Walken | Martin Sheen,Steven Spielberg,Jeff Nathanson,NotFound,[],"$52 000 000
","$164 615 351
","$352 114 312
"," 8,1", 1000919 votes
tt0086250,Scarface,1983,Crime | Drama,Al Pacino | Steven Bauer | Michelle Pfeiffer | Mary Elizabeth Mastrantonio,Brian De Palma,Oliver Stone,NotFound,[],"$25 000 000
","$45 408 703
","$65 884 703
"," 8,3", 852743 votes
tt0482571,The Prestige,2006,Drama | Mystery | Sci-Fi,Hugh Jackman | Christian Bale | Michael Caine | Piper Perabo,Christopher Nolan,Jonathan Nolan,NotFound,[],"$40 000 000
","$53 089 891
","$109 676 311
"," 8,5", 1346946 votes
tt0078788,Apocalypse Now,1979,Drama | Mystery | War,Marlon Brando | Martin Sheen | Robert Duvall | Frederic Forrest,Francis Ford Coppola,John Milius,NotFound,[],"$31 500 000
","$96 042 913
","$104 880 868
"," 8,5", 674594 votes
tt1343092,The Great Gatsby,2013,Drama | Romance,Lisa Adam | Frank Aldridge | Amitabh Bachchan | Steve Bisley,Baz Luhrmann,Baz Luhrmann,NotFound,[],"$105 000 000
","$144 857 996
","$353 659 851
"," 7,2", 556073 votes
tt0417741,Harry Potter and the Half-Blood Prince,2009,Action | Adventure | Family,Daniel Radcliffe | Michael Gambon | Dave Legeno | Elarica Johnson,David Yates,Steve Kloves,NotFound,[],"$250 000 000
","$302 334 374
","$934 519 387
"," 7,6", 555795 votes
tt0414387,Pride & Prejudice,2005,Drama | Romance,Keira Knightley | Talulah Riley | Rosamund Pike | Jena Malone,Joe Wright,Deborah Moggach,NotFound,[],"$28 000 000
","$38 405 088
","$121 616 555
"," 7,8", 302961 votes
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,Adventure | Family | Fantasy,Bill Nighy | Emma Watson | Richard Griffiths | Harry Melling,David Yates,Steve Kloves,NotFound,[],"£150 000 000
","$296 374 621
","$977 070 383
"," 7,7", 559369 votes
tt0477348,No Country for Old Men,2007,Crime | Drama | Thriller,Tommy Lee Jones | Javier Bardem | Josh Brolin | Woody Harrelson,Ethan Coen,Joel Coen,NotFound,[],"$25 000 000
","$74 283 625
","$171 627 434
"," 8,2", 986679 votes
tt0071562,The Godfather Part II,1974,Crime | Drama,Al Pacino | Robert Duvall | Diane Keaton | Robert De Niro,Francis Ford Coppola,Francis Ford Coppola,NotFound,[],"$13 000 000
","$47 834 595
","$47 961 919
", 9, 1283866 votes
tt6166392,Wonka,2023,Adventure | Comedy | Family,Timothée Chalamet | Olivia Colman | Sally Hawkins | Colin O'Brien,Paul King,Simon Farnaby,NotFound,[],NotFound,NotFound,NotFound,NotFound,NotFound
tt0073486,One Flew Over the Cuckoo's Nest,1975,Drama,Michael Berryman | Peter Brocco | Dean R. Brooks | Alonzo Brown,Milos Forman,Lawrence Hauben,NotFound,[],NotFound,NotFound,NotFound," 8,7", 1016381 votes
tt15787870,The Snow Girl,20232023,Crime | Drama | Mystery,Marco Cáceres | Milena Smit | Jose Coronado | Loreto Mauleón,David Ulloa,Javier Castillo,NotFound,['La chica de nieve'],NotFound,NotFound,NotFound," 6,8", 4939 votes
tt0119558,Lolita,1997,Drama | Romance,Jeremy Irons | Melanie Griffith | Frank Langella | Dominique Swain,Adrian Lyne,Vladimir Nabokov,NotFound,['Lolita'],"$62 000 000
","$1 071 255
","$1 071 255
"," 6,8", 61452 votes
tt5645432,The Old Man,2022,Action | Drama | Thriller,Jeff Bridges | John Lithgow | E.J. Bonilla | Bill Heck,NotFound,NotFound,Robert Levine,NotFound,NotFound,NotFound,NotFound," 7,6", 41012 votes
tt14369780,Lady Chatterley's Lover,2022,Drama | Romance,Emma Corrin | Jack O'Connell | Matthew Duckett | Joely Richardson,Laure de Clermont-Tonnerre,David Magee,NotFound,[],NotFound,NotFound,NotFound," 6,6", 16607 votes
tt0332280,The Notebook,2004,Drama | Romance,Tim Ivey | Gena Rowlands | Starletta DuPois | James Garner,Nick Cassavetes,Jeremy Leven,NotFound,[],"$29 000 000
","$81 417 274
","$118 230 644
"," 7,8", 581433 votes
tt3748172,Gerald's Game,2017,Drama | Horror | Thriller,Carla Gugino | Bruce Greenwood | Chiara Aurelia | Carel Struycken,Mike Flanagan,Mike Flanagan,NotFound,[],NotFound,NotFound,NotFound," 6,5", 114176 votes
tt1578873,Pretty Little Liars,20102017,Drama | Mystery | Romance,Troian Bellisario | Ashley Benson | Lucy Hale | Shay Mitchell,NotFound,NotFound,I. Marlene King,NotFound,NotFound,NotFound,NotFound," 7,4", 170254 votes
tt0105323,Scent of a Woman,1992,Drama,Al Pacino | Chris O'Donnell | James Rebhorn | Gabrielle Anwar,Martin Brest,Giovanni Arpino,NotFound,['Il Buio E Il Miele'],"$31 000 000
","$63 095 253
","$134 095 253
", 8, 303030 votes
tt0117008,Matilda,1996,Comedy | Family | Fantasy,Mara Wilson | Danny DeVito | Rhea Perlman | Embeth Davidtz,Danny DeVito,Roald Dahl,NotFound,[],"$36 000 000
","$33 459 416
","$33 459 416
", 7, 160302 votes
tt1840309,Divergent,2014,Action | Adventure | Mystery,Shailene Woodley | Theo James | Ashley Judd | Jai Courtney,Neil Burger,Evan Daugherty,NotFound,[],"$85 000 000
","$150 947 895
","$288 885 818
"," 6,6", 466851 votes
tt0780504,Drive,,Action | Drama,Ryan Gosling | Carey Mulligan | Bryan Cranston | Albert Brooks,Nicolas Winding Refn,Hossein Amini,NotFound,[],"$15 000 000
","$35 061 555
","$78 714 970
"," 7,8", 653340 votes
tt0804484,Foundation,2021,Drama | Sci-Fi,Lou Llobell | Jared Harris | Lee Pace | Leah Harvey,NotFound,NotFound,David S. Goyer,NotFound,NotFound,NotFound,NotFound," 7,4", 62537 votes
tt12785720,The Witcher: Blood Origin,20222022,Action | Adventure | Drama,Sophia Brown | Laurence O'Fuarain | Mirren Mack | Lenny Henry,NotFound,NotFound,Declan De Barra,NotFound,NotFound,NotFound,NotFound," 4,7", 37499 votes
tt1396484,It,,Horror,Jaeden Martell | Jeremy Ray Taylor | Sophia Lillis | Finn Wolfhard,Andy Muschietti,Chase Palmer,NotFound,[],"$35 000 000
","$328 874 981
","$701 842 551
"," 7,3", 559030 votes
tt0167261,The Lord of the Rings: The Two Towers,2002,Action | Adventure | Drama,Bruce Allpress | Sean Astin | John Bach | Sala Baker,Peter Jackson,J.R.R. Tolkien,NotFound,['The Two Towers'],"$94 000 000
","$342 952 511
","$947 944 270
"," 8,8", 1682862 votes
tt1099212,Twilight,,Drama | Fantasy | Romance,Kristen Stewart | Sarah Clarke | Matt Bushell | Billy Burke,Catherine Hardwicke,Melissa Rosenberg,NotFound,[],"$37 000 000
","$193 962 473
","$408 430 415
"," 5,3", 467816 votes
tt0112697,Clueless,1995,Comedy | Romance,Alicia Silverstone | Stacey Dash | Brittany Murphy | Paul Rudd,Amy Heckerling,Amy Heckerling,NotFound,[],"$12 000 000
","$56 631 572
","$56 631 572
"," 6,9", 225161 votes
tt0080453,The Blue Lagoon,1980,Adventure | Drama | Romance,Brooke Shields | Christopher Atkins | Leo McKern | William Daniels,Randal Kleiser,Henry De Vere Stacpoole,NotFound,[],NotFound,NotFound,NotFound," 5,8", 72443 votes
tt21364964,The Catch,2023,Thriller,Jason Watkins | Aneurin Barnard | Poppy Gilbert | Cathy Belton,Robert Quinn,Michael Crompton,NotFound,[],NotFound,NotFound,NotFound," 5,8", 408 votes
